"country_id"	"system_source"	"year_source"	"taxon_source"	"level_source"	"code_source"	"system_destination"	"year_destination"	"taxon_destination"	"level_destination"	"code_destination"	"comment"	"expert"
"BR"	"Braziliam System of Soil Classification"	1990	"Glei Húmico"	2	"unknown"	"Braziliam System of Soil Classification"	2006	"Gleissolo"	1	"G"	""	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	1990	"Hidromórfico Cinzento"	2	"unknown"	"Braziliam System of Soil Classification"	2006	"Gleissolo"	1	"G"	"Except when there is an abrupt textural change (Planossolo). Accurate correlation cannot be acchieved using only first level classification."	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	1990	"Glei Tiomórfico"	2	"unknown"	"Braziliam System of Soil Classification"	2006	"Gleissolo"	1	"G"	""	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	1990	"Solonchak"	1	"unknown"	"Braziliam System of Soil Classification"	2006	"Gleissolo Sálico"	2	"GZ"	""	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	1990	"Latossolo"	1	"unknown"	"Braziliam System of Soil Classification"	2006	"Latossolo"	1	"L"	"Except Latossolo Laterítico. Accurate correlation cannot be acchieved using only first level classification."	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	1990	"Bruno Não Cálcico"	2	"unknown"	"Braziliam System of Soil Classification"	2006	"Luvissolo"	1	"T"	" "	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	1990	"Podzólico Vermelho-Amarelo Eutrófico Ta"	3	"unknown"	"Braziliam System of Soil Classification"	2006	"Luvissolo"	1	"T"	" "	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	1990	"Podzólico Bruno-Acinzentado Eutrófico"	3	"unknown"	"Braziliam System of Soil Classification"	2006	"Luvissolo"	1	"T"	""	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	1990	"Podzólico Vermelho-Escuro Eutrófico Ta"	3	"unknown"	"Braziliam System of Soil Classification"	2006	"Luvissolo"	1	"T"	""	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	1990	"Litossolo"	1	"unknown"	"Braziliam System of Soil Classification"	2006	"Neossolo Litólico"	2	"RL"	""	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	1990	"Solo Litólico"	1	"unknown"	"Braziliam System of Soil Classification"	2006	"Neossolo Litólico"	2	"RL"	""	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	1990	"Regossolo"	1	"unknown"	"Braziliam System of Soil Classification"	2006	"Neossolo Regolítico"	2	"RR"	""	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	1990	"Solo Aluvial"	1	"unknown"	"Braziliam System of Soil Classification"	2006	"Neossolo Flúvico"	2	"RY"	""	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	1990	"Areia Quartzosa"	1	"unknown"	"Braziliam System of Soil Classification"	2006	"Neossolo Quartzarênico"	2	"RQ"	""	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	1990	"Terra Roxa Estruturada"	2	"unknown"	"Braziliam System of Soil Classification"	2006	"Nitossolo"	1	"N"	"Accurate correlation cannot be acchieved using only first level classification."	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	1990	"Terra Roxa Estruturada Similar"	2	"unknown"	"Braziliam System of Soil Classification"	2006	"Nitossolo"	1	"N"	"Accurate correlation cannot be acchieved using only first level classification."	"Alessandro Samuel Rosa"
